id,social_network_account_id,social_network_account_followers,code_iso,comments,like,love,haha,wow,angry,sad,shares,post_impressions,post_impressions_unique,post_consumptions,total_video_views,total
308,25725,44167,CO,2,5,0,0,0,0,0,1,2084,1619,58,0,66
295,40939,54474,MX,0,72,4,0,0,0,0,2,2209,1335,66,0,143
278,40878,76586,MX,4,311,41,1,0,0,0,0,19457,17451,893,0,1250
314,27099,355656,MX,0,0,0,0,0,0,0,0,0,0,0,0,0
333,30664,87,CO,1,1,0,0,0,0,0,0,7,2,5,0,7
299,28985,239389,PE,175,9319,2006,21,126,1,3,27,248664,179019,50231,0,61909
334,42634,8591,CO,4,126,8,0,0,0,0,2,8899,5133,208,0,348
316,28265,85186,PE,3,77,5,0,0,0,0,0,4963,3560,167,0,252
344,24646,17497,CO,0,35,4,0,0,0,0,1,723,471,5,0,45
298,30864,125352,MX,6,15,2,0,0,0,0,3,1405,1071,11,0,37
320,39726,458592,PE,3,78,14,0,0,0,0,13,24635,17859,344,2220,2672
277,26660,722268,MX,6,78,4,1,5,0,0,4,21822,16543,552,0,650
289,34844,274689,MX,38,1083,340,92,4,0,0,6,42221,42221,1037,0,2600
270,34056,993921,MX,49,3053,368,29,1,1,0,0,79863,0,0,0,3501
301,26660,722268,MX,4,62,8,2,0,0,0,4,13496,10568,418,0,498
245,41896,144594,PE,2,42,13,0,0,0,8,0,7885,5643,304,0,369
346,30637,1,CO,0,0,0,0,0,0,0,0,7,4,0,0,0
305,38374,31332,MX,2,98,7,1,0,0,0,2,14878,8585,544,0,654
236,40567,261659,MX,0,1980,149,2,2,0,0,10,54343,49227,2022,0,4165
551,48719,61,CO,0,0,0,0,0,0,0,0,29,20,0,0,0
253,43054,95869,MX,25,559,113,2,10,0,1,10,0,0,0,6549,720
256,28285,1009218,PE,11,245,35,0,1,0,11,0,69843,49119,1293,0,1596
321,42121,7847,PE,0,49,5,1,0,0,0,0,3166,2033,84,580,719
542,41199,2551,CO,0,1,0,0,0,0,0,0,149,85,0,0,1
313,40107,22438,CO,8,43,7,0,0,0,0,1,9837,6956,537,0,596
345,30664,87,CO,0,0,0,0,0,0,0,0,15,13,2,0,2
302,22650,7119,CO,0,40,1,1,0,0,0,0,4104,1900,95,0,137
350,33822,31752,MX,9,50,10,0,0,0,0,1,4299,2867,95,0,165
282,24744,0,CO,215,14800,507,14,43,0,5,91,33528,0,0,0,15675
336,34329,154937,PE,2,62,7,0,0,0,0,0,7538,6459,230,0,301
203,31197,103847,CO,16,512,87,34,1,0,0,8,56966,45710,1018,12713,14389
343,34048,383820,MX,9,569,198,42,3,2,7,2,32692,23077,1748,0,2580
294,29512,43043,MX,0,45,13,0,2,0,0,0,1669,974,30,0,90
557,27480,434458,MX,0,36,3,4,0,0,0,1,4276,0,482,0,44
374,29156,12002,CO,0,2,0,0,0,0,0,0,1585,1110,5,0,7
381,30483,44436,CO,5,25,2,0,0,0,0,0,0,0,0,308,340
362,29156,12002,CO,0,39,2,2,0,0,0,0,4720,3221,30,0,73
384,45079,57103,MX,5,87,1,0,0,0,0,2,3267,0,0,0,95
361,41652,229388,PE,128,5475,259,9,10,0,22,112,529093,455719,10328,0,16343
